Month,Year,PrecipitationJanuary,1993,21.72
April,2017,38.67
May,2017,8.36
June,2017,0.33
July,2017,1.34
August,2017,0.4
September,2017,4.49
October,2017,66.23
November,2017,57.02
December,2017,58.61
January,2018,50.91
February,2018,62.18
March,2018,89.86
April,2018,39.28
May,2018,22.28
June,2018,0.27
July,2018,6.75
August,2018,0.88
September,2018,3.59
October,2018,21.14
November,2018,27.1
December,2018,100.43
January,2019,85.85
February,2019,60.62
March,2019,23.25
April,2019,125.61
May,2019,1.86
June,2019,0.02
July,2019,0
August,2019,0.03
September,2019,2.56
October,2019,4.21
November,2019,116.67
December,2019,138.77
January,2020,109.32
February,2020,42.58
March,2020,50.47
April,2020,83.85
May,2020,1.9
June,2020,7.6
July,2020,0.01
August,2020,0.09
September,2020,9.46
October,2020,68.81
November,2020,126.58
December,2020,72.7
January,2021,126.43
February,2021,106.68
March,2021,19.87
April,2021,42.07
May,2021,0.89
June,2021,5.29
July,2021,0.13
August,2021,2.23
September,2021,18.5
October,2021,63.64
November,2021,69.76
December,2021,172.35
January,2022,56.1
February,2022,35.26
March,2022,60.12
April,2022,152.68
May,2022,18.7
June,2022,17.95
July,2022,3.34
August,2022,4.09
September,2022,0.03
October,2022,60.26
November,2022,147.42
December,2022,117.47
January,2023,25.35
February,2023,120.48
March,2023,54.68
April,2023,24.42
May,2023,44.31
June,2023,1.48
July,2023,3.22
August,2023,0.14
September,2023,6.63
October,2023,26.49
November,2023,55.92
December,2023,78.22
